transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price
0x26b08a9ea7f58eb10de4b208d60bc4c156afe3fb405959d695a15c3bc4f820ed,0,0xd0288f4b3292b730a86369993ef1fbd3b03f9834374ae7b5957135ba31eb37c2,4526,24428,24428,,,1,0
0xb080b802867d77af1fa50b8208356594d22d4625465639dfd65889c74738eb79,0,0xfecbb1905e50eb6e67b36ab01d53aa5e8f45b8c2d9227ee4313fd7c353accdb7,4547,24428,24428,,,1,0
0x0fa744e8305ad6ef2843226731c7eb4a4521ec6362d276c90d5775da08fc0338,0,0xc7cfd7c54e55d9342fb9bddab83e8a36f57294be575dfb42015a37983a00eff7,4595,100317,100317,,,1,0
0x2534546f6521d2e4fe8ed4dd05089921e9096ad5136508a47956f554a201b7b1,0,0x34176c9e5ff41cafea98ca2f92821f79bcc485c9b0d32377b4bf999129aba31b,4611,24428,24428,,,1,0
0xb9ed9293ca731e8368560cb10d465fa0db830a71c2fabe955f7c04feb7ab57bb,0,0x4018dc8c5d072cbf60343568e04d1b2f25b9b30182fa121da5ed9a33e48f93df,4616,24428,24428,,,1,0
0xfe04db3f2d80503a0d3faad0af14bfe6c9ac5e03db9b90612f046c7da4215753,0,0xc2e67f55c400bcebaaa88dd87278b2add0f2b035a59503a44dee0ef955327cbe,4637,24428,24428,,,1,0
0x34433e27a2e61005ffbb94fc6156ce5f904349bfd14fcf208c0ffc05996324eb,0,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,218079,218079,,,1,30000000000
0xaa2a09992a60371307300538863f1efcd15d1e52830b866ca44cbd8d58e477b1,1,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,363055,144976,,,1,30000000000
0xa36d0cd94a4dc8a2ac707e693cbc6c2a7a5c96da79439bacf351b57e87b38bd3,2,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,449907,86852,,,0,20000000000
0x0cc404b6be348c12d27e5b9cd18a56371d2918abe722cd5b32baf9d61aaa21fd,3,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,493247,43340,,,0,20000000000
0x0aa63ed3bf4be9cec682ec9c212b10bb56f06a7bd7bd7f10e473be02555b91f9,4,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,494763,1516,,,1,0
0xa88bc942b249dbbe8aaf621f2c81169e7e0ab058865e5cc25f1c496e1a1310a5,5,0x1525eed42ecc5159c0283de50d9fd1ac1e0d666c91babdd4234837816e39296f,4777,526913,32150,,,1,0
0xd0f37fb65635ea613fcd654dda7f417497100fa456100727313256485f6cf13c,0,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,217947,217947,,,1,20000000000
0x329148b72b4bde1fb77fb3d27bca0e451f2879e5dfd7bb7027dbd9eb7bbf067b,1,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,363686,145739,,,1,20000000000
0xc18d91c2082994082e271f527f3b49f98c4d81398945c3590711bdd8af989b5b,2,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,450466,86780,,,0,20000000000
0x027e5b20239ca69e5fd9399d01f4c6b495e46e8581735661f326c6ede7fb1d6b,3,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,494474,44008,,,0,20000000000
0xb2ca1a8f5cf216b1bdab648eb43d3ee0e7c75b2a197c71663ede2e409d33e739,4,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,495990,1516,,,1,0
0x1741e6a75da0c44433f35a07d651ca9a0ad46043e891e0e7ea7e591ca37a4e74,5,0xf691de8238195b62f1d59ac223ca0477c5ecf555699d829e2c2abd9cacd4f673,5561,528140,32150,,,1,0
0x754e177dc31745495e311118499287e60433370007c31e221b0590c80528d35e,0,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,229278,229278,,,1,20000000000
0xf520ae79e9c358cf34246c3f1a4785d2c00243a63ead508c880f225a6499cc84,1,0xe3d2ac2858bdd56adb84f4d6a30303f65c6cb61deb48efa6d994d519ae6b1363,5657,375005,145727,,,1,20000000000
